"","avg_points","std_dev","MOE"
"Liverpool",82.974,0.758535794622862,0.271438548054831
"Manchester City",77.7823333333333,0.653229026390851,0.233755005007986
"Tottenham",74.6953333333333,0.7508236090814,0.268678777902198
"Arsenal",69.9596666666667,0.973920209623278,0.348512871106942
"Fulham",66.3243333333333,0.906500217141819,0.324386936643778
"Bournemouth",66.2246666666667,0.715034280988335,0.255871731323375
"Chelsea",63.4456666666667,0.836283582216615,0.299260236534827
"Aston Villa",63.019,0.688999024072177,0.246555134287806
"Nott'ham Forest",62.128,0.658909234500735,0.235787641375216
"Newcastle Utd",57.135,0.856439099431175,0.306472795740071
"Manchester Utd",55.3706666666667,0.985872389214795,0.352789903644378
"Brentford",47.7856666666667,0.829136165903522,0.296702566455021
"Brighton",46.6906666666667,0.861093664388826,0.308138410418888
"Crystal Palace",46.1053333333333,0.642321937399278,0.22985195333875
"West Ham",43.699,0.679651787111708,0.24321026849919
"Everton",40.664,0.808555971235566,0.289338038374796
"Wolves",30.9056666666667,0.623514418345765,0.223121769080357
"Leicester City",29.4896666666667,0.692872498263984,0.247941239225774
"Southampton",27.8743333333333,0.716743994758929,0.256483544538742
"Ipswich Town",21.156,0.638347003244884,0.228429541419457
